file_a,file_b,label,clone_type,error,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,entropy_difference,markov_similarity,kl_similarity,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_similarity,apted_tree_edit_similarity,semantic_successful_overlap,semantic_output_similarity,embedding_cosine_similarity
submission6.py,submission7.py,1,2,,0.6749482401656315,1.0,0.9999999999999998,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8035718784225396
submission8.py,submission9.py,1,2,,0.8424908424908425,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8863950734573051
submission10.py,submission11.py,0,0,,0.39215686274509803,0.5,0.8903824333729599,0.4479861565361585,0.9039756162205141,0.24942497454407977,0.5,0.5333333333333333,0.6071428571428572,0.8571428571428572,0.3214285714285714,0.3571428571428571,0.0,0.0,0.7345038654354652
submission14.py,submission15.py,1,2,,0.5980861244019139,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7374472696780796
submission16.py,submission17.py,1,3,,0.22531939605110338,0.6551724137931034,0.9857113259230599,0.06059317009296539,0.966386827458256,0.49757153295252043,0.696969696969697,0.8263473053892215,0.8977272727272727,1.0,0.6590909090909092,0.7613636363636364,0.0,0.0,0.7773965154869273
submission18.py,submission19.py,1,2,,0.42778793418647165,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7442902330787521
submission20.py,submission21.py,1,2,,0.49901922322479403,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8887689032742864
submission22.py,submission23.py,1,3,,0.45793499043977054,0.9032258064516129,0.9989184077841705,0.021183310606324834,0.9897110038522423,0.8641795198641344,0.8717948717948718,0.9551282051282052,1.0,1.0,0.9230769230769231,0.9423076923076923,0.0,0.0,0.8062439413635419
submission24.py,submission25.py,1,2,,0.4870613257710032,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8506728687077838
submission26.py,submission27.py,1,2,,0.7631103074141049,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8397677357591189
submission28.py,submission29.py,1,2,,0.5097365406643757,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8971823664775016
submission30.py,submission31.py,0,0,,0.725925925925926,0.6086956521739131,0.9608162927016497,0.06081058779455528,0.9507901297164829,0.4308078971702357,0.75,0.7575757575757576,0.8333333333333334,1.0,0.4722222222222222,0.6944444444444444,0.5,0.8,0.8883168741366517
submission31.py,submission32.py,1,1,,1.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
submission33.py,submission34.py,0,0,,0.45569620253164556,0.8461538461538461,0.9879307526848686,0.005710485672451249,0.9696245788467582,0.78115988953419,0.78125,0.6985645933014354,0.6719999999999999,1.0,0.472,0.56,0.5,0.0,0.7986243524522532
submission35.py,submission36.py,0,0,,0.45893719806763283,0.9523809523809523,0.9849563569859846,0.07687550862353154,0.9640545816478259,0.9050085988802166,0.8076923076923077,0.7741935483870968,0.8058252427184466,0.9,0.4368932038834952,0.6019417475728155,0.0,0.0,0.7774034145289482
submission35.py,submission37.py,1,2,,0.5728770595690748,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.7866946088235927
submission36.py,submission37.py,0,0,,0.2792281498297389,0.9523809523809523,0.9849563569859846,0.07687550862353154,0.9640545816478259,0.9050085988802166,0.8076923076923077,0.7741935483870968,0.8058252427184466,0.9,0.4368932038834952,0.6019417475728155,0.0,0.0,0.6428060847294668
submission35.py,submission38.py,0,0,,0.4167636786961583,0.7727272727272727,0.9600808928295689,0.04438772651027367,0.9415674474763226,0.5964556962312592,0.6785714285714286,0.6229508196721312,0.83,1.0,0.20999999999999996,0.39,0.3,0.0,0.7736871435806965
submission36.py,submission38.py,0,0,,0.3301787592008412,0.7391304347826086,0.9457675607176156,0.03248778211325787,0.932699627665505,0.5478873819906971,0.6666666666666666,0.6108374384236454,0.970873786407767,0.9,0.15533980582524276,0.4368932038834952,0.0,0.0,0.6528774228740355
submission37.py,submission38.py,0,0,,0.24780701754385964,0.7727272727272727,0.9600808928295689,0.04438772651027367,0.9415674474763226,0.5964556962312592,0.6785714285714286,0.6229508196721312,0.83,1.0,0.20999999999999996,0.39,0.3,0.0,0.7217547830722759
submission35.py,submission39.py,1,2,,0.562421185372005,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.7342807033304195
submission36.py,submission39.py,0,0,,0.24858757062146894,0.9523809523809523,0.9849563569859846,0.07687550862353154,0.9640545816478259,0.9050085988802166,0.8076923076923077,0.7741935483870968,0.8058252427184466,0.9,0.4368932038834952,0.6019417475728155,0.0,0.0,0.6356226260617039
submission37.py,submission39.py,1,2,,0.5390070921985816,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.7306754709721713
submission38.py,submission39.py,0,0,,0.2423580786026201,0.7727272727272727,0.9600808928295689,0.04438772651027367,0.9415674474763226,0.5964556962312592,0.6785714285714286,0.6338797814207651,0.83,1.0,0.20999999999999996,0.39,0.3,0.0,0.7097206615727469
submission40.py,submission41.py,1,2,,0.6235955056179775,0.8571428571428571,0.9965836938548297,0.008922099561197161,0.9856027494225045,0.8091735879672923,0.8695652173913043,0.96045197740113,0.9887640449438202,1.0,0.9101123595505618,0.9325842696629214,0.0,0.0,0.9101477095652337
submission40.py,submission42.py,1,2,,0.7509363295880149,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.910250350980123
submission41.py,submission42.py,1,2,,0.6732851985559567,0.8571428571428571,0.9965836938548297,0.008922099561197161,0.9856027494225045,0.8091735879672923,0.8695652173913043,0.96045197740113,0.9887640449438202,1.0,0.9101123595505618,0.9325842696629214,0.0,0.0,0.8773993935550205
submission40.py,submission43.py,0,0,,0.525,0.7916666666666666,0.9896137543770396,0.20812259840470748,0.954881394336971,0.7620343480716587,0.84,0.8476190476190476,0.7355371900826446,1.0,0.7355371900826446,0.7355371900826446,0.0,0.0,0.8118879958919605
submission41.py,submission43.py,0,0,,0.6530303030303031,0.6923076923076923,0.9833684539269256,0.21704469796590464,0.9467946262768061,0.6456385703290742,0.7407407407407407,0.8133971291866029,0.7272727272727273,1.0,0.6859504132231404,0.7024793388429752,0.0,0.0,0.7813601901375464
submission42.py,submission43.py,0,0,,0.4318181818181818,0.7916666666666666,0.9896137543770396,0.20812259840470748,0.954881394336971,0.7620343480716587,0.84,0.8476190476190476,0.7355371900826446,1.0,0.7355371900826446,0.7355371900826446,0.0,0.0,0.778233464172712
submission40.py,submission44.py,1,2,,0.18525179856115107,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.8777944454572796
submission41.py,submission44.py,1,2,,0.5225694444444444,0.8571428571428571,0.9965836938548297,0.008922099561197161,0.9856027494225045,0.8091735879672923,0.8695652173913043,0.96045197740113,0.9887640449438202,1.0,0.9101123595505618,0.9325842696629214,0.0,0.0,0.8164085206313827
submission42.py,submission44.py,1,2,,0.16666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.8364777799593592
submission43.py,submission44.py,0,0,,0.46920821114369504,0.7916666666666666,0.9896137543770396,0.20812259840470748,0.954881394336971,0.7620343480716587,0.84,0.8476190476190476,0.7355371900826446,1.0,0.7355371900826446,0.7355371900826446,0.0,0.0,0.7302655706347579
submission45.py,submission46.py,0,0,,0.5744507729861676,0.8571428571428571,0.9919607326275112,0.20383077653435722,0.9718120094094804,0.7065688818342242,0.84,0.8775510204081632,0.96,1.0,0.69,0.78,0.0,0.0,0.9200008160776781
submission45.py,submission47.py,1,2,,0.554858934169279,1.0,0.9996546234525673,0.02116683950176723,0.986867266289234,0.9991634292613639,1.0,0.9743589743589743,0.9696969696969697,1.0,0.9595959595959596,0.9595959595959596,0.0,0.0,0.8648964302029637
submission46.py,submission47.py,0,0,,0.26839126919967665,0.8571428571428571,0.9910330926298878,0.18266393703258998,0.9713606726354923,0.7101748691193416,0.84,0.8743718592964824,0.99,1.0,0.65,0.76,0.0,0.0,0.8281147560942927
submission45.py,submission48.py,0,0,,0.6396103896103896,0.8095238095238095,0.9914880153179473,0.11115476973047356,0.9786951981094298,0.6089879173643002,0.8333333333333334,0.8888888888888888,0.96875,0.9090909090909091,0.7083333333333333,0.8229166666666666,0.0,0.0,0.8808021933098857
submission46.py,submission48.py,0,0,,0.471081307627829,0.85,0.9909326194514149,0.09267600680388366,0.9741274719275221,0.7030594712611732,0.76,0.8601036269430051,0.9299999999999999,0.9090909090909091,0.5900000000000001,0.78,0.0,0.0,0.8536459296480354
submission47.py,submission48.py,0,0,,0.4129032258064516,0.8095238095238095,0.9905236733095778,0.08998793022870633,0.9772242719788389,0.6123762504593199,0.8333333333333334,0.8854166666666666,0.9393939393939394,0.9090909090909091,0.7070707070707071,0.8181818181818181,0.0,0.0,0.7977295988453432
submission45.py,submission49.py,1,2,,0.6312292358803987,1.0,0.9996546234525673,0.02116683950176723,0.986867266289234,0.9991634292613639,1.0,0.9743589743589743,0.9696969696969697,1.0,0.9595959595959596,0.9595959595959596,0.0,0.0,0.8722438928780843
submission46.py,submission49.py,0,0,,0.39141630901287555,0.8571428571428571,0.9910330926298878,0.18266393703258998,0.9713606726354923,0.7101748691193416,0.84,0.8743718592964824,0.99,1.0,0.65,0.76,0.0,0.0,0.8160140225038123
submission47.py,submission49.py,1,2,,0.4768976897689769,1.0,0.9999999999999998,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.836539116868768
submission48.py,submission49.py,0,0,,0.5702054794520548,0.8095238095238095,0.9905236733095778,0.08998793022870633,0.9772242719788389,0.6123762504593199,0.8333333333333334,0.8854166666666666,0.9393939393939394,0.9090909090909091,0.7070707070707071,0.8181818181818181,0.0,0.0,0.7849799489453637
submission50.py,submission51.py,0,0,,0.09479166666666666,0.7307692307692307,0.9895548092832138,0.1759758044599744,0.9501496360312455,0.6255531085047908,0.65625,0.657243816254417,0.5988700564971752,0.9,0.3954802259887006,0.4915254237288136,0.0,0.0,0.8455991335926346
submission50.py,submission52.py,1,2,,0.33905579399141633,1.0,0.9986494328329618,0.03350183866172607,0.9914603789620283,0.9966248321769204,1.0,0.9446064139941691,0.9378531073446328,0.9090909090909091,0.7966101694915254,0.903954802259887,0.0,0.0,0.8928286634656158
submission51.py,submission52.py,0,0,,0.11978021978021978,0.7307692307692307,0.9902428918157156,0.20947764312170047,0.9530871565677612,0.6472469737984354,0.65625,0.6764705882352942,0.6385542168674698,0.8181818181818181,0.4156626506024096,0.5240963855421688,0.0,0.0,0.7884323252267008
submission50.py,submission53.py,0,0,,0.21208576998050682,0.8846153846153846,0.976759091354206,0.2313786704194345,0.9746285659939701,0.8187163826991583,0.90625,0.14948453608247422,0.8388625592417062,0.9090909090909091,0.0,0.48815165876777256,0.0,0.0,0.8638637308573808
submission51.py,submission53.py,0,0,,0.10413625304136254,0.76,0.9797775699233678,0.05540286595946009,0.9621508677007329,0.6481654637341032,0.6875,0.1892744479495268,0.5023696682464456,0.8181818181818181,0.056872037914691975,0.31753554502369663,0.0,0.0,0.7360299911442486
submission52.py,submission53.py,0,0,,0.14929006085192698,0.8846153846153846,0.9743708972000164,0.26488050908116056,0.9760209855613582,0.8139653521967742,0.90625,0.33421750663129973,0.7867298578199052,1.0,0.0,0.4691943127962085,0.0,0.0,0.7930027146087859
submission50.py,submission54.py,1,3,,0.38753734528382416,1.0,0.9992992329217367,0.006104744484432878,0.9887544482298902,0.9975096114728415,0.967741935483871,0.9244186046511628,0.943502824858757,0.9090909090909091,0.7344632768361582,0.8813559322033898,0.0,0.0,0.8606674809067663
submission51.py,submission54.py,0,0,,0.1320240043644299,0.7307692307692307,0.9926818637257323,0.16987105997554153,0.9603750979062573,0.6501166971115865,0.6875,0.6959706959706959,0.6347305389221557,0.8181818181818181,0.40718562874251496,0.5449101796407185,0.0,0.0,0.7332540790977227
submission52.py,submission54.py,1,3,,0.40303165403477487,1.0,0.9990152252527028,0.03960658314615895,0.9891931084991376,0.9976912616476818,0.967741935483871,0.9369369369369369,0.9940119760479041,1.0,0.8383233532934131,0.9041916167664671,0.0,0.0,0.8031886922647954
submission53.py,submission54.py,0,0,,0.14285714285714285,0.8846153846153846,0.97808543987703,0.22527392593500162,0.980766052899243,0.8196013953165999,0.9375,0.6984126984126984,0.7914691943127963,1.0,0.0,0.46445497630331756,0.0,0.0,0.7887444449828237
submission55.py,submission56.py,1,3,,0.5358283888635327,0.92,0.9988615092819189,0.01800067120579829,0.9788883308572874,0.9122574954090424,0.8181818181818182,0.9115646258503401,0.9090909090909091,1.0,0.7402597402597403,0.8441558441558441,0.0,0.0,0.9307487766351542
submission55.py,submission57.py,0,0,,0.15163934426229508,0.8846153846153846,0.9852818580531831,0.06859039380710419,0.9739645683067228,0.8272326383301043,0.8235294117647058,0.4985507246376812,0.6829268292682926,0.9,0.2731707317073171,0.42439024390243907,0.0,0.0,0.8969437689805396
submission56.py,submission57.py,0,0,,0.06868686868686869,0.96,0.988064017071899,0.0505897226013059,0.9797549430982606,0.8967661236901041,0.9393939393939394,0.49025069637883006,0.751219512195122,0.9,0.24878048780487805,0.4926829268292683,0.0,0.0,0.8875072232223453
submission55.py,submission58.py,1,2,,0.6064392119173474,0.92,0.9994665976222129,0.015502309672237313,0.983619719362749,0.9114086137432402,0.9032258064516129,0.9681978798586572,0.9790209790209791,1.0,0.9020979020979021,0.9370629370629371,0.0,0.0,0.946856131363475
submission56.py,submission58.py,0,0,,0.21644612476370512,1.0,0.9994736851371575,0.033502980878035604,0.9899272057507182,0.9978294685373277,0.90625,0.936026936026936,0.9285714285714286,1.0,0.8311688311688312,0.8896103896103896,0.0,0.0,0.9167884154904532
submission57.py,submission58.py,0,0,,0.2824524312896406,0.96,0.9853859093260384,0.0840927034793415,0.9846470163303138,0.8834834931453946,0.9090909090909091,0.5804597701149425,0.697560975609756,0.9,0.24878048780487805,0.46829268292682924,0.0,0.0,0.857665278461671
submission55.py,submission59.py,0,0,,0.472761724301279,0.84,0.9937911501635924,0.13573502806186521,0.9731179682315066,0.7642533158517352,0.8064516129032258,0.8561643835616438,0.9210526315789473,0.8888888888888888,0.5723684210526316,0.7236842105263157,0.0,0.0,0.9236549788969778
submission56.py,submission59.py,0,0,,0.16775396085740912,0.9166666666666666,0.9939728432834335,0.11773435685606692,0.9766861384280183,0.8342382004389265,0.8709677419354839,0.8366013071895425,0.987012987012987,0.8888888888888888,0.6493506493506493,0.6883116883116883,0.0,0.0,0.9494097753982129
submission57.py,submission59.py,0,0,,0.2997912317327766,0.88,0.9776155321433007,0.06714463425476103,0.9681396161918014,0.7478101003025479,0.8181818181818182,0.5490196078431373,0.7414634146341463,0.8,0.23414634146341462,0.3902439024390244,0.0,0.0,0.9107420581038829
submission58.py,submission59.py,0,0,,0.41846758349705304,0.9166666666666666,0.9946799668717559,0.15123733773410253,0.97531085694351,0.8259604666934788,0.9,0.8610169491525423,0.9407894736842105,0.8888888888888888,0.638157894736842,0.7236842105263157,0.0,0.0,0.8955447188199092
submission55.py,submission60.py,0,0,,0.5174632352941176,0.92,0.9988615092819189,0.01800067120579829,0.9788883308572874,0.9122574954090424,0.8181818181818182,0.9115646258503401,0.9090909090909091,1.0,0.7402597402597403,0.8441558441558441,0.0,0.0,0.8206135101055523
submission56.py,submission60.py,1,2,,0.3274536408864767,1.0,0.9999999999999998,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8307164250164322
submission57.py,submission60.py,0,0,,0.2073170731707317,0.96,0.988064017071899,0.0505897226013059,0.9797549430982606,0.8967661236901041,0.9393939393939394,0.5626740947075209,0.751219512195122,0.9,0.24878048780487805,0.4926829268292683,0.0,0.0,0.8135684529710614
submission58.py,submission60.py,0,0,,0.28843407900999524,1.0,0.9994736851371575,0.033502980878035604,0.9899272057507182,0.9978294685373277,0.90625,0.936026936026936,0.9285714285714286,1.0,0.8311688311688312,0.8896103896103896,0.0,0.0,0.8103285025735393
submission59.py,submission60.py,0,0,,0.3979352416705772,0.9166666666666666,0.9939728432834335,0.11773435685606692,0.9766861384280183,0.8342382004389265,0.8709677419354839,0.8366013071895425,0.987012987012987,0.8888888888888888,0.6493506493506493,0.6883116883116883,0.0,0.0,0.8261281986222683
submission61.py,submission62.py,1,3,,0.40141297366730894,1.0,0.9994587073823051,0.032019140661804446,0.9966724889353529,0.9987722842156771,1.0,0.8218623481781376,0.9525691699604744,1.0,0.8102766798418972,0.9051383399209486,0.0,0.0,0.9508860416994506
submission61.py,submission63.py,0,0,,0.28635062042634424,0.92,0.9997447794070236,0.009053188438232773,0.997865875182704,0.9532594556148761,0.90625,0.9921259842519685,0.9921568627450981,1.0,0.9882352941176471,0.9882352941176471,0.0,0.0,0.9335325345918511
submission62.py,submission63.py,0,0,,0.35240866472680243,0.92,0.9990954181916881,0.022965952223571673,0.9970914070548474,0.9510093222406839,0.90625,0.75,0.9450980392156862,1.0,0.8,0.8941176470588236,0.0,0.0,0.892141499023671
submission61.py,submission64.py,0,0,,0.2773285414794849,0.8076923076923077,0.990033001903065,0.2854272005770384,0.9783241338016483,0.8404689490096507,0.8125,0.32774674115456237,0.8908450704225352,0.9166666666666666,0.0,0.5845070422535211,0.0,0.0,0.8683261256312356
submission62.py,submission64.py,0,0,,0.1331711766494375,0.8076923076923077,0.9879149469434498,0.31744634123884286,0.9756729099245877,0.834401517820031,0.8125,0.3580952380952381,0.8485915492957746,0.9166666666666666,0.0,0.6619718309859155,0.0,0.0,0.8535986405300453
submission63.py,submission64.py,0,0,,0.0922242314647378,0.7407407407407407,0.9881965272039637,0.2944803890152712,0.9766558935178485,0.8072579223675038,0.7352941176470589,0.3228200371057514,0.897887323943662,0.9166666666666666,0.0,0.573943661971831,0.0,0.0,0.8211764450379404
submission61.py,submission65.py,0,0,,0.3117744610281924,0.8846153846153846,0.9978974661175141,0.001242741643192602,0.975800277605386,0.9003658946993011,0.8125,0.5480572597137015,0.9328063241106719,0.9166666666666666,0.4031620553359684,0.7391304347826086,0.0,0.0,0.9389575472922677
submission62.py,submission65.py,0,0,,0.1578414839797639,0.8846153846153846,0.9989782035426905,0.030776399018611844,0.9771724480761089,0.9008251680041081,0.8125,0.7211740041928721,0.979253112033195,0.9166666666666666,0.5726141078838174,0.8257261410788381,0.0,0.0,0.9004414471048305
submission63.py,submission65.py,0,0,,0.1402805611222445,0.8148148148148148,0.9977243246740741,0.007810446795040171,0.9754440463843842,0.8614922139273604,0.7352941176470589,0.47657841140529533,0.9254901960784314,0.9166666666666666,0.39607843137254906,0.7294117647058824,0.0,0.0,0.8890776933040252
submission64.py,submission65.py,0,0,,0.41755485893416927,0.8461538461538461,0.9859324107990924,0.286669942220231,0.978778360170611,0.831167074126955,0.8064516129032258,0.31153846153846154,0.8309859154929577,1.0,0.0,0.6619718309859155,0.0,0.0,0.8279293922034698
submission61.py,submission66.py,0,0,,0.27820299500831946,0.8846153846153846,0.9978974661175141,0.001242741643192602,0.975800277605386,0.9003658946993011,0.8125,0.5480572597137015,0.9328063241106719,0.9166666666666666,0.4031620553359684,0.7391304347826086,0.0,0.0,0.9389800140556264
submission62.py,submission66.py,0,0,,0.46429780033840945,0.8846153846153846,0.9989782035426905,0.030776399018611844,0.9771724480761089,0.9008251680041081,0.8125,0.7211740041928721,0.979253112033195,0.9166666666666666,0.5726141078838174,0.8257261410788381,0.0,0.0,0.9102261424727004
submission63.py,submission66.py,0,0,,0.20308310991957104,0.8148148148148148,0.9977243246740741,0.007810446795040171,0.9754440463843842,0.8614922139273604,0.7352941176470589,0.47657841140529533,0.9254901960784314,0.9166666666666666,0.39607843137254906,0.7294117647058824,0.0,0.0,0.8888646402093004
submission64.py,submission66.py,0,0,,0.3867924528301887,0.8461538461538461,0.9859324107990924,0.286669942220231,0.978778360170611,0.831167074126955,0.8064516129032258,0.31153846153846154,0.8309859154929577,1.0,0.0,0.6619718309859155,0.0,0.0,0.8250281669509402
submission65.py,submission66.py,1,2,,0.6778711484593838,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9572616622928369
submission67.py,submission68.py,1,3,,0.2721729490022173,1.0,0.99983993031969,0.019567780901951437,0.9943119324088936,0.9991825189173597,1.0,0.6209523809523809,0.7100977198697068,1.0,0.7100977198697068,0.7100977198697068,0.0,0.0,0.8695083102583763
submission67.py,submission69.py,0,0,,0.3099290780141844,0.85,0.9630860639613993,0.3568254569306095,0.9435217023319593,0.7032586890110959,0.7727272727272727,0.6457831325301204,0.9036697247706422,0.9166666666666666,0.24311926605504586,0.4495412844036697,0.0,0.0,0.8628676077396731
submission68.py,submission69.py,0,0,,0.1458710066305003,0.85,0.9593158444781826,0.37639323783256096,0.947685207737684,0.7001207024355197,0.7727272727272727,0.5595238095238095,0.6416938110749186,0.9166666666666666,0.17589576547231267,0.3615635179153095,0.0,0.0,0.803091101985969
submission67.py,submission70.py,0,0,,0.2149908592321755,0.8421052631578947,0.9067423571438857,0.16359783774354408,0.9460233555006999,0.6656763436308255,0.85,0.5912596401028277,0.7844036697247706,0.9166666666666666,0.0,0.4311926605504587,0.0,0.0,0.7888751584963857
submission68.py,submission70.py,0,0,,0.08103928240024745,0.8421052631578947,0.90038208437167,0.18316561864549552,0.9433841398179894,0.6627982001458017,0.85,0.5313807531380753,0.5570032573289903,0.9166666666666666,0.0,0.3192182410423453,0.0,0.0,0.7391420299701089
submission69.py,submission70.py,0,0,,0.26012269938650306,0.9,0.9757022938309383,0.19322761918706544,0.977252185869371,0.8716668748291826,0.8181818181818182,0.7554347826086957,0.868020304568528,1.0,0.0,0.6142131979695431,0.0,0.0,0.8313740604975856
submission67.py,submission71.py,0,0,,0.31964549483013294,1.0,0.9999321100300995,0.006640860962547013,0.9948059843599437,0.9993804602753424,1.0,0.5419847328244275,0.7124183006535948,1.0,0.7124183006535948,0.7124183006535948,0.0,0.0,0.7790714207021646
submission68.py,submission71.py,0,0,,0.141643059490085,1.0,0.9998874232104298,0.012926919939404424,0.9993686349235315,0.9997598313604069,1.0,0.7373572593800979,0.996742671009772,1.0,0.9153094462540716,0.9185667752442996,0.0,0.0,0.8370960283462339
submission69.py,submission71.py,0,0,,0.13376413570274637,0.85,0.962393538817216,0.36346631789315653,0.9480655573655687,0.7025576355997553,0.7727272727272727,0.05168986083499006,0.6437908496732025,0.9166666666666666,0.196078431372549,0.38888888888888884,0.0,0.0,0.7777254709970832
submission70.py,submission71.py,0,0,,0.08305647840531562,0.8421052631578947,0.9045813741422963,0.1702386987060911,0.943764489445874,0.6658485000131099,0.85,0.1509433962264151,0.5588235294117647,0.9166666666666666,0.0,0.32352941176470584,0.0,0.0,0.6727498085437015
submission67.py,submission72.py,0,0,,0.1766598420590816,0.8421052631578947,0.8998081662805053,0.3547931647417104,0.9345579010285342,0.5784924943871016,0.7272727272727273,0.03428571428571429,0.7100977198697068,0.8333333333333334,0.0,0.3648208469055375,0.0,0.0,0.7720221176908144
submission68.py,submission72.py,0,0,,0.15317845289762574,0.8421052631578947,0.8934424577904018,0.37436094564366185,0.9387214064342589,0.57668717548818,0.7272727272727273,0.029315960912052116,1.0,0.8333333333333334,0.0,0.37133550488599354,0.0,0.0,0.8149600865850315
submission69.py,submission72.py,0,0,,0.39884947267497606,0.9,0.9758638610289345,0.0020322921888991097,0.9731548531062206,0.8801958974074202,0.9523809523809523,0.3055555555555556,0.6416938110749186,0.9090909090909091,0.0,0.48859934853420195,0.0,0.0,0.8006967294044814
submission70.py,submission72.py,0,0,,0.14191852825229961,1.0,0.994468781809199,0.19119532699816633,0.986143035056635,0.9770167487033234,0.8571428571428571,0.03765690376569038,0.5570032573289903,0.9090909090909091,0.32573289902280134,0.39739413680781754,0.0,0.0,0.8681444185777439
submission71.py,submission72.py,0,0,,0.1061180292365999,0.8421052631578947,0.8981920952040583,0.3614340257042574,0.9391017560621435,0.5791268693209947,0.7272727272727273,0.02936378466557912,0.996742671009772,0.8333333333333334,0.0,0.37133550488599354,0.0,0.0,0.8095771663636273
submission73.py,submission74.py,1,3,,0.711531190926276,1.0,0.9994666324959729,0.004943979030230139,0.9919534657177802,0.996222457391789,1.0,0.7251184834123223,0.6812749003984064,1.0,0.6812749003984064,0.6812749003984064,0.0,0.0,0.9599733495671615
